service,mode,scenario,clients,requests_per_client,total_requests,success,errors,duration_ms,throughput_rps,avg_latency_ms,min_latency_ms,p50_latency_ms,p95_latency_ms,max_latency_ms,monitor_samples,monitor_avg_cpu_pct,monitor_max_cpu_pct,monitor_avg_mem_pct,monitor_max_mem_pct,monitor_avg_rss_mb,monitor_max_rss_mb,monitor_avg_threads,monitor_max_threads,load_file,monitor_file,notes
rest,baseline,baseline-c1-r20,1,20,20,20,0,2026,9.872,90.507,62.244,82.038,158.221,173.020,3,0.32,0.97,19.70,19.70,177.24,177.24,29.00,29,tests/results/rest-norway-baseline-20260331T163230Z-load.csv,tests/results/rest-norway-baseline-20260331T163230Z-20260331T163230Z.csv,
rest,increasing,increasing-c1-r50,1,50,50,50,0,7950,6.289,144.840,95.241,122.265,221.971,691.680,29,3.44,10.19,19.70,19.70,177.32,177.87,29.72,34,tests/results/rest-norway-increasing-20260331T163237Z-load.csv,tests/results/rest-norway-increasing-20260331T163237Z-20260331T163237Z.csv,
rest,increasing,increasing-c5-r50,5,50,250,250,0,7269,34.393,129.199,80.424,122.958,186.990,223.752,29,3.44,10.19,19.70,19.70,177.32,177.87,29.72,34,tests/results/rest-norway-increasing-20260331T163237Z-load.csv,tests/results/rest-norway-increasing-20260331T163237Z-20260331T163237Z.csv,
rest,increasing,increasing-c10-r50,10,50,500,500,0,7032,71.104,121.481,77.922,110.291,171.745,264.873,29,3.44,10.19,19.70,19.70,177.32,177.87,29.72,34,tests/results/rest-norway-increasing-20260331T163237Z-load.csv,tests/results/rest-norway-increasing-20260331T163237Z-20260331T163237Z.csv,
rest,increasing,increasing-c20-r50,20,50,1000,1000,0,7033,142.187,121.257,76.832,109.279,212.618,288.207,29,3.44,10.19,19.70,19.70,177.32,177.87,29.72,34,tests/results/rest-norway-increasing-20260331T163237Z-load.csv,tests/results/rest-norway-increasing-20260331T163237Z-20260331T163237Z.csv,
rest,stress,stress-c20-r100,20,100,2000,2000,0,13161,151.964,112.348,57.620,96.664,214.041,311.497,150,3.87,17.14,19.89,19.90,179.39,179.58,45.76,48,tests/results/rest-norway-stress-20260331T163705Z-load.csv,tests/results/rest-norway-stress-20260331T163705Z-20260331T163705Z.csv,partial_run_c20_c40_only
rest,stress,stress-c40-r100,40,100,4000,3805,195,80263,49.836,858.123,61.632,117.209,4983.826,15000.000,150,3.87,17.14,19.89,19.90,179.39,179.58,45.76,48,tests/results/rest-norway-stress-20260331T163705Z-load.csv,tests/results/rest-norway-stress-20260331T163705Z-20260331T163705Z.csv,partial_run_c20_c40_only
soap,baseline,baseline-c1-r20,1,20,20,20,0,3957,5.054,185.132,63.622,102.079,456.065,885.566,5,3.66,9.62,18.50,18.50,167.00,167.00,29.00,29,tests/results/soap-norway-baseline-20260331T163458Z-load.csv,tests/results/soap-norway-baseline-20260331T163458Z-20260331T163458Z.csv,
soap,increasing,increasing-c1-r50,1,50,50,50,0,7319,6.832,132.842,64.295,116.967,227.174,318.823,29,11.14,37.74,18.60,18.70,167.63,168.62,30.72,36,tests/results/soap-norway-increasing-20260331T163613Z-load.csv,tests/results/soap-norway-increasing-20260331T163613Z-20260331T163613Z.csv,
soap,increasing,increasing-c5-r50,5,50,250,250,0,7268,34.397,126.390,84.644,116.193,197.870,241.382,29,11.14,37.74,18.60,18.70,167.63,168.62,30.72,36,tests/results/soap-norway-increasing-20260331T163613Z-load.csv,tests/results/soap-norway-increasing-20260331T163613Z-20260331T163613Z.csv,
soap,increasing,increasing-c10-r50,10,50,500,500,0,7018,71.245,120.050,75.914,113.595,172.178,203.816,29,11.14,37.74,18.60,18.70,167.63,168.62,30.72,36,tests/results/soap-norway-increasing-20260331T163613Z-load.csv,tests/results/soap-norway-increasing-20260331T163613Z-20260331T163613Z.csv,
soap,increasing,increasing-c20-r50,20,50,1000,1000,0,7183,139.218,116.968,56.650,109.704,193.567,246.477,29,11.14,37.74,18.60,18.70,167.63,168.62,30.72,36,tests/results/soap-norway-increasing-20260331T163613Z-load.csv,tests/results/soap-norway-increasing-20260331T163613Z-20260331T163613Z.csv,
rmi,baseline,baseline-c1-r20,1,20,20,20,0,1699,11.772,53.679,35.009,42.315,91.251,159.679,3,0.33,0.98,8.00,8.00,72.04,72.12,20.00,21,tests/results/rmi-norway-baseline-20260331T163505Z-load.csv,tests/results/rmi-norway-baseline-20260331T163505Z-20260331T163505Z.csv,
rmi,increasing,increasing-c1-r50,1,50,50,50,0,3310,15.106,53.993,34.501,45.671,103.500,116.031,16,2.23,10.58,8.08,8.30,73.06,74.75,34.44,59,tests/results/rmi-norway-increasing-20260331T163646Z-load.csv,tests/results/rmi-norway-increasing-20260331T163646Z-20260331T163646Z.csv,
rmi,increasing,increasing-c5-r50,5,50,250,250,0,3708,67.422,59.431,32.584,48.289,97.545,299.252,16,2.23,10.58,8.08,8.30,73.06,74.75,34.44,59,tests/results/rmi-norway-increasing-20260331T163646Z-load.csv,tests/results/rmi-norway-increasing-20260331T163646Z-20260331T163646Z.csv,
rmi,increasing,increasing-c10-r50,10,50,500,500,0,3678,135.943,49.581,27.148,42.305,107.248,181.217,16,2.23,10.58,8.08,8.30,73.06,74.75,34.44,59,tests/results/rmi-norway-increasing-20260331T163646Z-load.csv,tests/results/rmi-norway-increasing-20260331T163646Z-20260331T163646Z.csv,
rmi,increasing,increasing-c20-r50,20,50,1000,1000,0,4215,237.248,46.694,26.980,42.347,87.217,159.293,16,2.23,10.58,8.08,8.30,73.06,74.75,34.44,59,tests/results/rmi-norway-increasing-20260331T163646Z-load.csv,tests/results/rmi-norway-increasing-20260331T163646Z-20260331T163646Z.csv,
